ORDEM;VENDA_ID;VENDA_DATA;VENDA_ANO;VENDA_MES;VENDA_STATUS;VENDA_TAMANHO;VENDA_PEDIDO;VENDA_ITEM;VENDA_QTDE;VENDA_TOTAL;PRECO_UNITARIO;PRECO_SUGERIDO;PRODUTO_CODIGO;PRODUTO_LINHA;CLIENTE_CODIGO;CLIENTE_NOME;CLIENTE_FONE;CLIENTE_ENDERECO;CLIENTE_COMPLEMENTO;CLIENTE_CIDADE;CLIENTE_ESTADO;CLIENTE_PAIS;CLIENTE_TERRITORIO;CONTATO_NOME;CONTATO_SOBRENOME
1399;10182;11/12/2003;2003;11;Enviado;Médio;4;12;44;3072.96;69.84;71;S18_4933;Carros Novos;C97562;Mini Gifts Distributors Ltd.;F.4155551450;5677 Strong St.;;San Rafael;CA;Estados Unidos;América do Norte;Valarie;Nelson
1400;10193;11/21/2003;2003;11;Enviado;Pequeno;4;16;25;1906.5;76.26;71;S18_4933;Carros Novos;C3150;Australian Collectables, Ltd;F.61-9-3844-6555;7 Allen Street;;Glen Waverly;Victoria;Austrália;Ásia-Pacífico;Sean;Connery
1401;10204;12/02/2003;2003;12;Enviado;Médio;4;6;45;3431.7;76.26;71;S18_4933;Carros Novos;C10022;Muscle Machine Inc;F.2125557413;4092 Furth Circle;Suite 400;NYC;NY;Estados Unidos;América do Norte;Jeff;Young
1402;10213;1/22/2004;2004;1;Enviado;Pequeno;1;2;25;2084.75;83.39;71;S18_4933;Carros Novos;CWA1 1DP;Double Decker Gift Stores, Ltd;F.(171) 555-7555;120 Hanover Sq.;;London;;Reino Unido;Europa, Oriente Médio e África;Thomas;Hardy
1403;10227;03/02/2004;2004;3;Enviado;Pequeno;1;12;37;2136.01;57.73;71;S18_4933;Carros Novos;C69004;Saveley & Henriot, Co.;F.78.32.5555;2, rue du Commerce;;Lyon;;França;Europa, Oriente Médio e África;Mary;Saveley
1404;10241;4/13/2004;2004;4;Enviado;Pequeno;2;4;30;2009.7;66.99;71;S18_4933;Carros Novos;C67000;Mini Caravy;F.88.60.1555;24, place Kluber;;Strasbourg;;França;Europa, Oriente Médio e África;Frederique;Citeaux
1405;10267;07/07/2004;2004;7;Enviado;Pequeno;3;1;36;2719.8;75.55;71;S18_4933;Carros Novos;C10022;Muscle Machine Inc;F.2125557413;4092 Furth Circle;Suite 400;NYC;NY;Estados Unidos;América do Norte;Jeff;Young
1406;10279;08/09/2004;2004;8;Enviado;Pequeno;3;1;26;1575.08;60.58;71;S18_4933;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
1407;10288;09/01/2004;2004;9;Enviado;Pequeno;3;7;23;1688.43;73.41;71;S18_4933;Carros Novos;C69045;Handji Gifts& Co;F.+65 224 1555;Village Close - 106 Linden Road Sandown;2nd Floor;Singapore;;Singapura;Ásia-Pacífico;Wendy;Victorino
1408;10302;10/06/2003;2003;10;Enviado;Pequeno;4;3;23;1672.1;72.7;71;S18_4933;Carros Novos;CWX1 6LT;UK Collectables, Ltd.;F.(171) 555-2282;Berkeley Gardens 12  Brewery;;Liverpool;;Reino Unido;Europa, Oriente Médio e África;Elizabeth;Devon
1409;10311;10/16/2004;2004;10;Enviado;Pequeno;4;2;25;1674.75;66.99;71;S18_4933;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
1410;10332;11/17/2004;2004;11;Enviado;Médio;4;3;21;3472.98;100;71;S18_4933;Carros Novos;CEC2 5NT;AV Stores, Co.;F.(171) 555-1555;Fauntleroy Circus;;Manchester;;Reino Unido;Europa, Oriente Médio e África;Victoria;Ashworth
1411;10344;11/25/2004;2004;11;Enviado;Pequeno;4;5;26;1649.18;63.43;71;S18_4933;Carros Novos;C13008;Marseille Mini Autos;F.91.24.4555;12, rue des Bouchers;;Marseille;;França;Europa, Oriente Médio e África;Laurence;Lebihan
1412;10367;01/12/2005;2005;1;Resolvido;Médio;1;9;44;3751;85.25;71;S18_4933;Carros Novos;C90003;Toys4GrownUps.com;F.6265557265;78934 Hillside Dr.;;Pasadena;CA;Estados Unidos;América do Norte;Julie;Young
1413;10380;2/16/2005;2005;2;Enviado;Médio;1;2;24;4536;100;71;S18_4933;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
1414;10407;4/22/2005;2005;4;Aguardando;Médio;2;4;66;4421.34;66.99;71;S18_4933;Carros Novos;C94217;The Sharp Gifts Warehouse;F.4085553659;3086 Ingle Ln.;;San Jose;CA;Estados Unidos;América do Norte;Sue;Frick
1415;10420;5/29/2005;2005;5;Processando;Pequeno;2;7;36;2078.28;57.73;71;S18_4933;Carros Novos;C2067;Souveniers And Things Co.;F.+61 2 9495 8555;Monitor Money Building, 815 Pacific Hwy;Level 6;Chatswood;NSW;Austrália;Ásia-Pacífico;Adrian;Huxley
1416;10110;3/18/2003;2003;3;Enviado;Médio;1;13;36;3069;85.25;73;S24_1046;Carros Novos;CEC2 5NT;AV Stores, Co.;F.(171) 555-1555;Fauntleroy Circus;;Manchester;;Reino Unido;Europa, Oriente Médio e África;Victoria;Ashworth
1417;10124;5/21/2003;2003;5;Enviado;Pequeno;2;12;22;1713.8;77.9;73;S24_1046;Carros Novos;C83030;Signal Gift Stores;F.7025551838;8489 Strong St.;;Las Vegas;NV;Estados Unidos;América do Norte;Sue;King
1418;10148;09/11/2003;2003;9;Enviado;Pequeno;3;6;25;1506.5;60.26;73;S24_1046;Carros Novos;C2060;Anna's Decorations, Ltd;F.02 9936 8555;201 Miller Street;Level 15;North Sydney;NSW;Austrália;Ásia-Pacífico;Anna;O'Hara
1419;10161;10/17/2003;2003;10;Enviado;Pequeno;4;5;37;2692.12;72.76;73;S24_1046;Carros Novos;C8200;Heintze Collectables;F.86 21 3555;Smagsloget 45;;Aaarhus;;Dinamarca;Europa, Oriente Médio e África;Palle;Ibsen
1420;10172;11/05/2003;2003;11;Enviado;Pequeno;4;3;32;2422.08;75.69;73;S24_1046;Carros Novos;C97562;Gift Depot Inc.;F.2035552570;25593 South Bay Ln.;;Bridgewater;CT;Estados Unidos;América do Norte;Julie;King
1421;10182;11/12/2003;2003;11;Enviado;Médio;4;16;47;3488.34;74.22;73;S24_1046;Carros Novos;C97562;Mini Gifts Distributors Ltd.;F.4155551450;5677 Strong St.;;San Rafael;CA;Estados Unidos;América do Norte;Valarie;Nelson
1422;10192;11/20/2003;2003;11;Enviado;Pequeno;4;4;37;2583.34;69.82;73;S24_1046;Carros Novos;C62005;Online Diecast Creations Co.;F.6035558647;2304 Long Airport Avenue;;Nashua;NH;Estados Unidos;América do Norte;Valarie;Young
1423;10204;12/02/2003;2003;12;Enviado;Pequeno;4;10;20;1249.4;62.47;73;S24_1046;Carros Novos;C10022;Muscle Machine Inc;F.2125557413;4092 Furth Circle;Suite 400;NYC;NY;Estados Unidos;América do Norte;Jeff;Young
1424;10212;1/16/2004;2004;1;Enviado;Médio;1;3;41;3374.71;82.31;73;S24_1046;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
1425;10226;2/26/2004;2004;2;Enviado;Pequeno;1;1;21;1265.46;60.26;73;S24_1046;Carros Novos;C91217;Collectable Mini Designs Co.;F.7605558146;361 Furth Circle;;San Diego;CA;Estados Unidos;América do Norte;Valarie;Thompson
1426;10241;4/13/2004;2004;4;Enviado;Pequeno;2;8;22;1681.46;76.43;73;S24_1046;Carros Novos;C67000;Mini Caravy;F.88.60.1555;24, place Kluber;;Strasbourg;;França;Europa, Oriente Médio e África;Frederique;Citeaux
1427;10267;07/07/2004;2004;7;Enviado;Médio;3;5;40;3204;80.1;73;S24_1046;Carros Novos;C10022;Muscle Machine Inc;F.2125557413;4092 Furth Circle;Suite 400;NYC;NY;Estados Unidos;América do Norte;Jeff;Young
1428;10279;08/09/2004;2004;8;Enviado;Pequeno;3;5;32;2398.72;74.96;73;S24_1046;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
1429;10288;09/01/2004;2004;9;Enviado;Pequeno;3;11;36;2381.04;66.14;73;S24_1046;Carros Novos;C69045;Handji Gifts& Co;F.+65 224 1555;Village Close - 106 Linden Road Sandown;2nd Floor;Singapore;;Singapura;Ásia-Pacífico;Wendy;Victorino
1430;10301;10/05/2003;2003;10;Enviado;Pequeno;4;1;27;1944.54;72.02;73;S24_1046;Carros Novos;CN 0106;Norway Gifts By Mail, Co.;F.+47 2212 1555;Drammensveien 126 A, PB 744 Sentrum;;Oslo;;Noruega;Europa, Oriente Médio e África;Jan;Klaeboe
1431;10311;10/16/2004;2004;10;Enviado;Pequeno;4;6;26;2273.7;87.45;73;S24_1046;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
1432;10321;11/04/2004;2004;11;Enviado;Pequeno;4;3;30;2116.5;70.55;73;S24_1046;Carros Novos;C50553;FunGiftIdeas.com;F.5085552555;1785 First Street;;New Bedford;MA;Estados Unidos;América do Norte;Violeta;Benitez
1433;10332;11/17/2004;2004;11;Enviado;Pequeno;4;4;23;1307.32;56.84;73;S24_1046;Carros Novos;CEC2 5NT;AV Stores, Co.;F.(171) 555-1555;Fauntleroy Circus;;Manchester;;Reino Unido;Europa, Oriente Médio e África;Victoria;Ashworth
1434;10344;11/25/2004;2004;11;Enviado;Pequeno;4;7;29;1726.37;59.53;73;S24_1046;Carros Novos;C13008;Marseille Mini Autos;F.91.24.4555;12, rue des Bouchers;;Marseille;;França;Europa, Oriente Médio e África;Laurence;Lebihan
1435;10367;01/12/2005;2005;1;Resolvido;Pequeno;1;10;21;1267.77;60.37;73;S24_1046;Carros Novos;C90003;Toys4GrownUps.com;F.6265557265;78934 Hillside Dr.;;Pasadena;CA;Estados Unidos;América do Norte;Julie;Young
1436;10380;2/16/2005;2005;2;Enviado;Médio;1;3;34;3441.82;100;73;S24_1046;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
1437;10407;4/22/2005;2005;4;Aguardando;Pequeno;2;8;26;1987.18;76.43;73;S24_1046;Carros Novos;C94217;The Sharp Gifts Warehouse;F.4085553659;3086 Ingle Ln.;;San Jose;CA;Estados Unidos;América do Norte;Sue;Frick
1438;10420;5/29/2005;2005;5;Processando;Médio;2;11;60;3880.2;64.67;73;S24_1046;Carros Novos;C2067;Souveniers And Things Co.;F.+61 2 9495 8555;Monitor Money Building, 815 Pacific Hwy;Level 6;Chatswood;NSW;Austrália;Ásia-Pacífico;Adrian;Huxley
1439;10104;1/31/2003;2003;1;Enviado;Pequeno;1;6;35;1942.15;55.49;57;S24_1444;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
1440;10115;04/04/2003;2003;4;Enviado;Médio;2;2;47;3259.92;69.36;57;S24_1444;Carros Novos;C10022;Classic Legends Inc.;F.2125558493;5905 Pompton St.;Suite 750;NYC;NY;Estados Unidos;América do Norte;Maria;Hernandez
1441;10127;06/03/2003;2003;6;Enviado;Pequeno;2;8;20;1213.8;60.69;57;S24_1444;Carros Novos;C10022;Muscle Machine Inc;F.2125557413;4092 Furth Circle;Suite 400;NYC;NY;Estados Unidos;América do Norte;Jeff;Young
1442;10141;08/01/2003;2003;8;Enviado;Pequeno;3;2;20;1086.6;54.33;57;S24_1444;Carros Novos;CFIN-02271;Suominen Souveniers;F.+358 9 8045 555;Software Engineering Center, SEC Oy;;Espoo;;Finlandia;Europa, Oriente Médio e África;Kalle;Suominen
1443;10152;9/25/2003;2003;9;Enviado;Pequeno;3;4;25;1632.75;65.31;57;S24_1444;Carros Novos;C4101;Australian Gift Network, Co;F.61-7-3844-6555;31 Duncan St. West End;;South Brisbane;Queensland;Austrália;Ásia-Pacífico;Tony;Calaghan
1444;10165;10/22/2003;2003;10;Enviado;Pequeno;4;9;25;1734;69.36;57;S24_1444;Carros Novos;C79903;Dragon Souveniers, Ltd.;F.+65 221 7555;Bronz Sok., Bronz Apt. 3/6 Tesvikiye;;Singapore;;Singapura;Japão;Eric;Natividad
1445;10176;11/06/2003;2003;11;Enviado;Pequeno;4;8;27;1857.06;68.78;57;S24_1444;Carros Novos;C42100;L'ordine Souveniers;F.0522-556555;Strada Provinciale 124;;Reggio Emilia;;Itália;Europa, Oriente Médio e África;Maurizio;Moroni
1446;10184;11/14/2003;2003;11;Enviado;Pequeno;4;3;31;1863.41;60.11;57;S24_1444;Carros Novos;C41101;Iberia Gift Imports, Corp.;F.(95) 555 82 82;C/ Romero, 33;;Sevilla;;Espanha;Europa, Oriente Médio e África;Jose Pedro;Roel
1447;10195;11/25/2003;2003;11;Enviado;Pequeno;4;3;44;2924.68;66.47;57;S24_1444;Carros Novos;C24067;Mini Classics;F.9145554562;3758 North Pendale Street;;White Plains;NY;Estados Unidos;América do Norte;Steve;Frick
1448;10207;12/09/2003;2003;12;Enviado;Pequeno;4;4;49;2294.18;46.82;57;S24_1444;Carros Novos;C51003;Diecast Collectables;F.6175552555;6251 Ingle Ln.;;Boston;MA;Estados Unidos;América do Norte;Valarie;Franco
1449;10220;02/12/2004;2004;2;Enviado;Pequeno;1;8;26;1457.82;56.07;57;S24_1444;Carros Novos;C2;Clover Collections, Co.;F.+353 1862 1555;25 Maiden Lane;Floor No. 4;Dublin;;Irlanda;Europa, Oriente Médio e África;Dean;Cassidy
1450;10230;3/15/2004;2004;3;Enviado;Pequeno;1;6;36;1955.88;54.33;57;S24_1444;Carros Novos;C60528;Blauer See Auto, Co.;F.+49 69 66 90 2555;Lyonerstr. 34;;Frankfurt;;Alemanha;Europa, Oriente Médio e África;Roland;Keitel
1451;10246;05/05/2004;2004;5;Enviado;Pequeno;2;2;44;2314.4;52.6;57;S24_1444;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
1452;10259;6/15/2004;2004;6;Enviado;Pequeno;2;1;28;1310.96;46.82;57;S24_1444;Carros Novos;C69045;Handji Gifts& Co;F.+65 224 1555;Village Close - 106 Linden Road Sandown;2nd Floor;Singapore;;Singapura;Ásia-Pacífico;Wendy;Victorino
1453;10271;7/20/2004;2004;7;Enviado;Pequeno;3;2;45;2913.3;64.74;57;S24_1444;Carros Novos;C97562;Mini Gifts Distributors Ltd.;F.4155551450;5677 Strong St.;;San Rafael;CA;Estados Unidos;América do Norte;Valarie;Nelson
1454;10282;8/20/2004;2004;8;Enviado;Pequeno;3;11;29;1357.78;46.82;57;S24_1444;Carros Novos;C97562;Mini Gifts Distributors Ltd.;F.4155551450;5677 Strong St.;;San Rafael;CA;Estados Unidos;América do Norte;Valarie;Nelson
1455;10292;09/08/2004;2004;9;Enviado;Pequeno;3;5;40;2150;53.75;57;S24_1444;Carros Novos;C10022;Land of Toys Inc.;F.2125557818;897 Long Airport Avenue;;NYC;NY;Estados Unidos;América do Norte;Kwai;Yu
1456;10305;10/13/2004;2004;10;Enviado;Pequeno;4;2;45;2783.25;61.85;57;S24_1444;Carros Novos;C51247;Marta's Replicas Co.;F.6175558555;39323 Spinnaker Dr.;;Cambridge;MA;Estados Unidos;América do Norte;Marta;Hernandez
1457;10314;10/22/2004;2004;10;Enviado;Pequeno;4;11;44;2339.92;53.18;57;S24_1444;Carros Novos;C8200;Heintze Collectables;F.86 21 3555;Smagsloget 45;;Aaarhus;;Dinamarca;Europa, Oriente Médio e África;Palle;Ibsen
1458;10324;11/05/2004;2004;11;Enviado;Pequeno;4;14;25;1729;69.16;57;S24_1444;Carros Novos;C10022;Vitachrome Inc.;F.2125551500;2678 Kingston Rd.;Suite 101;NYC;NY;Estados Unidos;América do Norte;Michael;Frick
1459;10336;11/20/2004;2004;11;Enviado;Médio;4;4;45;5972.4;100;57;S24_1444;Carros Novos;C75012;La Corne D'abondance, Co.;F.(1) 42.34.2555;265, boulevard Charonne;;Paris;;França;Europa, Oriente Médio e África;Marie;Bertrand
1460;10349;12/01/2004;2004;12;Enviado;Pequeno;4;4;48;2275.2;47.4;57;S24_1444;Carros Novos;C10022;Muscle Machine Inc;F.2125557413;4092 Furth Circle;Suite 400;NYC;NY;Estados Unidos;América do Norte;Jeff;Young
1461;10358;12/10/2004;2004;12;Enviado;Pequeno;4;14;44;2673.44;60.76;57;S24_1444;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
1462;10371;1/23/2005;2005;1;Enviado;Pequeno;1;12;25;2431.75;97.27;57;S24_1444;Carros Novos;C97562;Mini Gifts Distributors Ltd.;F.4155551450;5677 Strong St.;;San Rafael;CA;Estados Unidos;América do Norte;Valarie;Nelson
1463;10383;2/22/2005;2005;2;Enviado;Pequeno;1;2;22;2018.72;91.76;57;S24_1444;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
1464;10394;3/15/2005;2005;3;Enviado;Pequeno;1;2;31;1558.99;50.29;57;S24_1444;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
1465;10412;05/03/2005;2005;5;Enviado;Pequeno;2;2;21;1104.6;52.6;57;S24_1444;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
1466;10425;5/31/2005;2005;5;Processando;Pequeno;2;1;55;2575.1;46.82;57;S24_1444;Carros Novos;C44000;La Rochelle Gifts;F.40.67.8555;67, rue des Cinquante Otages;;Nantes;;França;Europa, Oriente Médio e África;Janine;Labrune
1467;10107;2/24/2003;2003;2;Enviado;Pequeno;1;3;25;2845.75;100;112;S24_1578;Motocicletas;C10022;Land of Toys Inc.;F.2125557818;897 Long Airport Avenue;;NYC;NY;Estados Unidos;América do Norte;Kwai;Yu
1468;10120;4/29/2003;2003;4;Enviado;Médio;2;1;35;3431.75;98.05;112;S24_1578;Motocicletas;C3004;Australian Collectors, Co.;F.03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;Austrália;Ásia-Pacífico;Peter;Ferguson
1469;10134;07/01/2003;2003;7;Enviado;Médio;3;3;35;3273.9;93.54;112;S24_1578;Motocicletas;C75508;Lyon Souveniers;F.+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;;França;Europa, Oriente Médio e África;Daniel;Da Cunha
1470;10145;8/25/2003;2003;8;Enviado;Médio;3;7;43;4119.4;95.8;112;S24_1578;Motocicletas;C90003;Toys4GrownUps.com;F.6265557265;78934 Hillside Dr.;;Pasadena;CA;Estados Unidos;América do Norte;Julie;Young
1471;10159;10/10/2003;2003;10;Enviado;Médio;4;15;44;5355.68;100;112;S24_1578;Motocicletas;;Corporate Gift Ideas Co.;F.6505551386;7734 Strong St.;;San Francisco;CA;Estados Unidos;América do Norte;Julie;Brown
1472;10168;10/28/2003;2003;10;Enviado;Médio;4;2;50;5747.5;100;112;S24_1578;Motocicletas;C94217;Technics Stores Inc.;F.6505556809;9408 Furth Circle;;Burlingame;CA;Estados Unidos;América do Norte;Juri;Hirano
1473;10180;11/11/2003;2003;11;Enviado;Médio;4;10;48;5355.36;100;112;S24_1578;Motocicletas;C59000;Daedalus Designs Imports;F.20.16.1555;184, chausse de Tournai;;Lille;;França;Europa, Oriente Médio e África;Martine;Rance
1474;10188;11/18/2003;2003;11;Enviado;Pequeno;4;2;25;2535.75;100;112;S24_1578;Motocicletas;CN 5804;Herkku Gifts;F.+47 2267 3215;Drammen 121, PR 744 Sentrum;;Bergen;;Noruega;Europa, Oriente Médio e África;Veysel;Oeztan
1475;10201;12/01/2003;2003;12;Enviado;Médio;4;3;39;4351.23;100;112;S24_1578;Motocicletas;;Mini Wheels Co.;F.6505555787;5557 North Pendale Street;;San Francisco;CA;Estados Unidos;América do Norte;Julie;Murphy
1476;10211;1/15/2004;2004;1;Enviado;Pequeno;1;15;25;2254;90.16;112;S24_1578;Motocicletas;C75016;Auto Canal Petit;F.(1) 47.55.6555;25, rue Lauriston;;Paris;;França;Europa, Oriente Médio e África;Dominique;Perrier
1477;10223;2/20/2004;2004;2;Enviado;Pequeno;1;2;32;2921.28;91.29;112;S24_1578;Motocicletas;C3004;Australian Collectors, Co.;F.03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;Austrália;Ásia-Pacífico;Peter;Ferguson
1478;10237;04/05/2004;2004;4;Enviado;Pequeno;2;8;20;2299;100;112;S24_1578;Motocicletas;C10022;Vitachrome Inc.;F.2125551500;2678 Kingston Rd.;Suite 101;NYC;NY;Estados Unidos;América do Norte;Michael;Frick
1479;10251;5/18/2004;2004;5;Enviado;Pequeno;2;3;26;2637.18;100;112;S24_1578;Motocicletas;C94019;Tekni Collectables Inc.;F.2015559350;7476 Moss Rd.;;Newark;NJ;Estados Unidos;América do Norte;William;Brown
1480;10263;6/28/2004;2004;6;Enviado;Médio;2;3;42;4307.52;100;112;S24_1578;Motocicletas;C97562;Gift Depot Inc.;F.2035552570;25593 South Bay Ln.;;Bridgewater;CT;Estados Unidos;América do Norte;Julie;King
1481;10275;7/23/2004;2004;7;Enviado;Pequeno;3;2;21;2153.76;100;112;S24_1578;Motocicletas;C44000;La Rochelle Gifts;F.40.67.8555;67, rue des Cinquante Otages;;Nantes;;França;Europa, Oriente Médio e África;Janine;Labrune
1482;10285;8/27/2004;2004;8;Enviado;Médio;3;7;34;3716.88;100;112;S24_1578;Motocicletas;C51247;Marta's Replicas Co.;F.6175558555;39323 Spinnaker Dr.;;Cambridge;MA;Estados Unidos;América do Norte;Marta;Hernandez
1483;10299;9/30/2004;2004;9;Enviado;Médio;3;10;47;5455.76;100;112;S24_1578;Motocicletas;C21240;Toys of Finland, Co.;F.90-224 8555;Keskuskatu 45;;Helsinki;;Finlandia;Europa, Oriente Médio e África;Matti;Karttunen
1484;10309;10/15/2004;2004;10;Enviado;Pequeno;4;6;21;2650.62;100;112;S24_1578;Motocicletas;C4110;Baane Mini Imports;F.07-98 9555;Erling Skakkes gate 78;;Stavern;;Noruega;Europa, Oriente Médio e África;Jonas;Bergulfsen
1485;10318;11/02/2004;2004;11;Enviado;Médio;4;2;48;6437.28;100;112;S24_1578;Motocicletas;C70267;Diecast Classics Inc.;F.2155551555;7586 Pompton St.;;Allentown;PA;Estados Unidos;América do Norte;Kyung;Yu
1486;10329;11/15/2004;2004;11;Enviado;Pequeno;4;7;30;2633.4;87.78;112;S24_1578;Motocicletas;C10022;Land of Toys Inc.;F.2125557818;897 Long Airport Avenue;;NYC;NY;Estados Unidos;América do Norte;Kwai;Yu
1487;10339;11/23/2004;2004;11;Enviado;Pequeno;4;10;27;2278.53;84.39;112;S24_1578;Motocicletas;C106-0032;Tokyo Collectables, Ltd;F.+81 3 3584 0555;2-2-8 Roppongi;;Minato-ku;Tokyo;Japão;Japão;Akiko;Shimamura
1488;10362;01/05/2005;2005;1;Enviado;Médio;1;2;50;4846;96.92;112;S24_1578;Motocicletas;C94217;Technics Stores Inc.;F.6505556809;9408 Furth Circle;;Burlingame;CA;Estados Unidos;América do Norte;Juri;Hirano
1489;10374;02/02/2005;2005;2;Enviado;Médio;1;6;38;4197.1;100;112;S24_1578;Motocicletas;C4101;Australian Gift Network, Co;F.61-7-3844-6555;31 Duncan St. West End;;South Brisbane;Queensland;Austrália;Ásia-Pacífico;Tony;Calaghan
1490;10389;03/03/2005;2005;3;Enviado;Médio;1;1;45;4597.65;100;112;S24_1578;Motocicletas;CS-844 67;Scandinavian Gift Ideas;F.0695-34 6555;?kergatan 24;;Boras;;Suécia;Europa, Oriente Médio e África;Maria;Larsson
1491;10403;04/08/2005;2005;4;Enviado;Médio;2;8;46;5287.7;100;112;S24_1578;Motocicletas;CWX1 6LT;UK Collectables, Ltd.;F.(171) 555-2282;Berkeley Gardens 12  Brewery;;Liverpool;;Reino Unido;Europa, Oriente Médio e África;Elizabeth;Devon
1492;10417;5/13/2005;2005;5;Disputado;Médio;2;3;35;3550.05;100;112;S24_1578;Motocicletas;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
1493;10110;3/18/2003;2003;3;Enviado;Pequeno;1;15;29;1721.73;59.37;50;S24_1628;Carros Novos;CEC2 5NT;AV Stores, Co.;F.(171) 555-1555;Fauntleroy Circus;;Manchester;;Reino Unido;Europa, Oriente Médio e África;Victoria;Ashworth
1494;10123;5/20/2003;2003;5;Enviado;Pequeno;2;1;50;2993.5;59.87;50;S24_1628;Carros Novos;C44000;Atelier graphique;F.40.32.2555;54, rue Royale;;Nantes;;França;Europa, Oriente Médio e África;Carine;Schmitt
1495;10137;07/10/2003;2003;7;Enviado;Pequeno;3;1;26;1295.06;49.81;50;S24_1628;Carros Novos;C51100;Reims Collectables;F.26.47.1555;59 rue de l'Abbaye;;Reims;;França;Europa, Oriente Médio e África;Paul;Henriot
1496;10148;09/11/2003;2003;9;Enviado;Pequeno;3;8;47;2671.95;56.85;50;S24_1628;Carros Novos;C2060;Anna's Decorations, Ltd;F.02 9936 8555;201 Miller Street;Level 15;North Sydney;NSW;Austrália;Ásia-Pacífico;Anna;O'Hara
1497;10161;10/17/2003;2003;10;Enviado;Pequeno;4;7;23;1226.59;53.33;50;S24_1628;Carros Novos;C8200;Heintze Collectables;F.86 21 3555;Smagsloget 45;;Aaarhus;;Dinamarca;Europa, Oriente Médio e África;Palle;Ibsen
1498;10172;11/05/2003;2003;11;Enviado;Pequeno;4;5;34;1453.84;42.76;50;S24_1628;Carros Novos;C97562;Gift Depot Inc.;F.2035552570;25593 South Bay Ln.;;Bridgewater;CT;Estados Unidos;América do Norte;Julie;King
1499;10181;11/12/2003;2003;11;Enviado;Pequeno;4;1;34;1830.22;53.83;50;S24_1628;Carros Novos;CN 5804;Herkku Gifts;F.+47 2267 3215;Drammen 121, PR 744 Sentrum;;Bergen;;Noruega;Europa, Oriente Médio e África;Veysel;Oeztan
1500;10192;11/20/2003;2003;11;Enviado;Pequeno;4;6;47;2530.01;53.83;50;S24_1628;Carros Novos;C62005;Online Diecast Creations Co.;F.6035558647;2304 Long Airport Avenue;;Nashua;NH;Estados Unidos;América do Norte;Valarie;Young
1501;10204;12/02/2003;2003;12;Enviado;Pequeno;4;12;45;2241.45;49.81;50;S24_1628;Carros Novos;C10022;Muscle Machine Inc;F.2125557413;4092 Furth Circle;Suite 400;NYC;NY;Estados Unidos;América do Norte;Jeff;Young
1502;10212;1/16/2004;2004;1;Enviado;Pequeno;1;5;45;2399.85;53.33;50;S24_1628;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
